data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data50,data51,data52,data53,data54,data55,data56
,12.41666667,,10.75757576,,11.77857143,,10.47757576,,10.82142857,,10.23757576,,9.864285714,,9.997575758,,8.907142857,,9.757575758,,7.95,,,8.426395907,8.258828808,8.091261708,7.923694608,7.756127509,7.588560409,7.42099331,7.25342621,7.085859111,6.918292011,6.750724911,6.583157812,6.415590712,6.248023613,6.080456513,5.912889414,5.745322314,5.577755214,5.410188115,5.242621015,5.075053916,,,4.907486816,4.739919717,4.572352617,4.404785518,4.237218418,4.069651318,3.902084219,3.734517119,3.56695002
,,,11.21818182,,,,10.93818182,,,,10.69818182,,,,10.45818182,,,,10.21818182,,,,,,,10.14818182,10.08618182,10.02418182,9.962181818,9.900181818,9.838181818,9.776181818,9.714181818,9.652181818,9.590181818,9.528181818,9.466181818,9.404181818,9.342181818,9.280181818,9.218181818,9.156181818,,,,,,,9.094181818,9.032181818,8.970181818,8.908181818,8.846181818,8.784181818,8.722181818
,,,11.67878788,,,,11.39878788,,,,11.15878788,,,,10.91878788,,,,10.67878788,,,,,,,10.60878788,10.54678788,10.48478788,10.42278788,10.36078788,10.29878788,10.23678788,10.17478788,10.11278788,10.05078788,9.988787879,9.926787879,9.864787879,9.802787879,9.740787879,9.678787879,9.616787879,,,,,,,9.554787879,9.492787879,9.430787879,9.368787879,9.306787879,9.244787879,9.182787879
data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data50,data51,data52,data53,data54,data55,data56
16.60952381,13.08333333,14.1047619,12.13939394,12.85238095,12.40714286,11.34952381,11.85939394,9.846666667,11.39285714,8.343809524,11.61939394,6.840952381,10.37857143,5.338095238,11.37939394,3.835238095,9.364285714,2.332380952,11.13939394,0.82952381,8.35,-0.673333333,3.248405797,2.741125541,2.233845285,1.726565029,1.219284773,0.712004517,0.204724261,-0.302555995,-0.809836251,-1.317116507,-1.824396763,-2.331677019,-2.838957275,-3.346237531,-3.853517787,-4.360798043,-4.868078299,-5.375358554,-5.88263881,-6.389919066,-6.897199322,-7.404479578,-7.911759834,-8.41904009,-8.926320346,-9.433600602,-9.940880858,-10.44816111,-10.95544137,-11.46272163,-11.97000188,-12.47728214,-12.98456239
17.86666667,13.75,15.13333333,12.6,13.76666667,13.03571429,12.12666667,12.32,10.48666667,11.96428571,8.846666667,12.08,7.206666667,10.89285714,5.566666667,11.84,3.926666667,9.821428571,2.286666667,11.6,0.646666667,8.75,-0.993333333,3.201125541,2.650781103,2.100436665,1.550092227,0.999747788,0.44940335,-0.100941088,-0.651285526,-1.201629964,-1.751974402,-2.302318841,-2.852663279,-3.403007717,-3.953352155,-4.503696593,-5.054041031,-5.60438547,-6.154729908,-6.705074346,-7.255418784,-7.805763222,-8.35610766,-8.906452099,-9.456796537,-10.00714097,-10.55748541,-11.10782985,-11.65817429,-12.20851873,-12.75886317,-13.3092076,-13.85955204,-14.40989648
19.12380952,14.41666667,16.16190476,13.06060606,14.68095238,13.66428571,12.90380952,12.78060606,11.12666667,12.53571429,9.34952381,12.54060606,7.572380952,11.40714286,5.795238095,12.30060606,4.018095238,10.27857143,2.240952381,12.06060606,0.463809524,9.15,-1.313333333,3.153845285,2.560436665,1.967028044,1.373619424,0.780210804,0.186802183,-0.406606437,-1.000015057,-1.593423678,-2.186832298,-2.780240919,-3.373649539,-3.967058159,-4.56046678,-5.1538754,-5.74728402,-6.340692641,-6.934101261,-7.527509881,-8.120918502,-8.714327122,-9.307735743,-9.901144363,-10.49455298,-11.0879616,-11.68137022,-12.27477884,-12.86818746,-13.46159609,-14.05500471,-14.64841333,-15.24182195,-15.83523057
20.38095238,15.08333333,17.19047619,13.52121212,15.5952381,14.29285714,13.68095238,13.24121212,11.76666667,13.10714286,9.852380952,13.00121212,7.938095238,11.92142857,6.023809524,12.76121212,4.10952381,10.73571429,2.195238095,12.52121212,0.280952381,9.55,-1.633333333,3.106565029,2.470092227,1.833619424,1.197146621,0.560673819,-0.075798984,-0.712271786,-1.348744589,-1.985217391,-2.621690194,-3.258162996,-3.894635799,-4.531108602,-5.167581404,-5.804054207,-6.440527009,-7.076999812,-7.713472614,-8.349945417,-8.986418219,-9.622891022,-10.25936382,-10.89583663,-11.53230943,-12.16878223,-12.80525503,-13.44172784,-14.07820064,-14.71467344,-15.35114625,-15.98761905,-16.62409185,-17.26056465
21.63809524,15.75,18.21904762,13.98181818,16.50952381,14.92142857,14.45809524,13.70181818,12.40666667,13.67857143,10.3552381,13.46181818,8.303809524,12.43571429,6.252380952,13.22181818,4.200952381,11.19285714,2.14952381,12.98181818,0.098095238,9.95,-1.953333333,3.059284773,2.379747788,1.700210804,1.020673819,0.341136834,-0.338400151,-1.017937135,-1.69747412,-2.377011105,-3.05654809,-3.736085074,-4.415622059,-5.095159044,-5.774696029,-6.454233013,-7.133769998,-7.813306983,-8.492843968,-9.172380952,-9.851917937,-10.53145492,-11.21099191,-11.89052889,-12.57006588,-13.24960286,-13.92913985,-14.60867683,-15.28821382,-15.9677508,-16.64728778,-17.32682477,-18.00636175,-18.68589874
22.8952381,16.41666667,19.24761905,14.44242424,17.42380952,15.55,15.2352381,14.16242424,13.04666667,14.25,10.85809524,13.92242424,8.66952381,12.95,6.480952381,13.68242424,4.292380952,11.65,2.103809524,13.44242424,-0.084761905,10.35,-2.273333333,3.012004517,2.28940335,1.566802183,0.844201016,0.121599849,-0.601001318,-1.323602484,-2.046203651,-2.768804818,-3.491405985,-4.214007152,-4.936608319,-5.659209486,-6.381810653,-7.10441182,-7.827012987,-8.549614154,-9.272215321,-9.994816488,-10.71741765,-11.44001882,-12.16261999,-12.88522116,-13.60782232,-14.33042349,-15.05302466,-15.77562582,-16.49822699,-17.22082816,-17.94342932,-18.66603049,-19.38863166,-20.11123283
,17.08333333,,14.9030303,,16.17857143,,14.6230303,,14.82142857,,14.3830303,,13.46428571,,14.1430303,,12.10714286,,13.9030303,,10.75,,,11.70463282,11.47645966,11.2482865,11.02011334,10.79194018,10.56376702,10.33559386,10.1074207,9.87924754,9.65107438,9.42290122,9.19472806,8.9665549,8.738381739,8.510208579,8.282035419,8.053862259,7.825689099,7.597515939,7.369342778,7.141169618,,,6.912996458,6.684823298,6.456650138,6.228476978,6.000303817,5.772130657,5.543957497,5.315784337,5.087611177
,17.75,,15.36363636,,16.80714286,,15.08363636,,15.39285714,,14.84363636,,13.97857143,,14.60363636,,12.56428571,,14.36363636,,11.15,,,12.11313341,11.87630224,11.63947107,11.40263991,11.16580874,10.92897757,10.6921464,10.45531523,10.21848406,9.981652893,9.744821724,9.507990555,9.271159386,9.034328217,8.797497048,8.56066588,8.323834711,8.087003542,7.850172373,7.613341204,7.376510035,,,7.139678867,6.902847698,6.666016529,6.42918536,6.192354191,5.955523022,5.718691854,5.481860685,5.245029516
,,,15.82424242,,,,15.54424242,,,,15.30424242,,,,15.06424242,,,,14.82424242,,,,,,,14.75424242,14.69224242,14.63024242,14.56824242,14.50624242,14.44424242,14.38224242,14.32024242,14.25824242,14.19624242,14.13424242,14.07224242,14.01024242,13.94824242,13.88624242,13.82424242,13.76224242,,,,,,,13.70024242,13.63824242,13.57624242,13.51424242,13.45224242,13.39024242,13.32824242
,,,16.28484848,,,,16.00484848,,,,15.76484848,,,,15.52484848,,,,15.28484848,,,,,,,15.21484848,15.15284848,15.09084848,15.02884848,14.96684848,14.90484848,14.84284848,14.78084848,14.71884848,14.65684848,14.59484848,14.53284848,14.47084848,14.40884848,14.34684848,14.28484848,14.22284848,,,,,,,14.16084848,14.09884848,14.03684848,13.97484848,13.91284848,13.85084848,13.78884848
data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data50,data51,data52,data53,data54,data55,data56
24.15238095,18.41666667,20.27619048,16.74545455,18.33809524,17.43571429,16.01238095,16.46545455,13.68666667,15.96428571,11.36095238,16.22545455,9.035238095,14.49285714,6.70952381,15.98545455,4.383809524,13.02142857,2.058095238,15.74545455,-0.267619048,11.55,-2.593333333,3.556480331,2.783286279,2.010092227,1.236898174,0.463704122,-0.30948993,-1.082683983,-1.855878035,-2.629072087,-3.40226614,-4.175460192,-4.948654244,-5.721848297,-6.495042349,-7.268236401,-8.041430454,-8.814624506,-9.587818558,-10.36101261,-11.13420666,-11.90740072,-12.68059477,-13.45378882,-14.22698287,-15.00017692,-15.77337098,-16.54656503,-17.31975908,-18.09295313,-18.86614719,-19.63934124,-20.41253529,-21.18572934
25.40952381,19.08333333,21.3047619,17.20606061,19.25238095,18.06428571,16.78952381,16.92606061,14.32666667,16.53571429,11.86380952,16.68606061,9.400952381,15.00714286,6.938095238,16.44606061,4.475238095,13.47857143,2.012380952,16.20606061,-0.45047619,11.95,-2.913333333,3.509200075,2.692941841,1.876683606,1.060425372,0.244167137,-0.572091097,-1.388349332,-2.204607566,-3.020865801,-3.837124035,-4.65338227,-5.469640504,-6.285898739,-7.102156973,-7.918415208,-8.734673442,-9.550931677,-10.36718991,-11.18344815,-11.99970638,-12.81596462,-13.63222285,-14.44848108,-15.26473932,-16.08099755,-16.89725579,-17.71351402,-18.52977226,-19.34603049,-20.16228873,-20.97854696,-21.79480519,-22.61106343
26.66666667,19.75,22.33333333,17.66666667,20.16666667,18.69285714,17.56666667,17.38666667,14.96666667,17.10714286,12.36666667,17.14666667,9.766666667,15.52142857,7.166666667,16.90666667,4.566666667,13.93571429,1.966666667,16.66666667,-0.633333333,12.35,-3.233333333,3.461919819,2.602597403,1.743274986,0.883952569,0.024630152,-0.834692264,-1.694014681,-2.553337098,-3.412659514,-4.271981931,-5.131304348,-5.990626765,-6.849949181,-7.709271598,-8.568594015,-9.427916431,-10.28723885,-11.14656126,-12.00588368,-12.8652061,-13.72452851,-14.58385093,-15.44317335,-16.30249577,-17.16181818,-18.0211406,-18.88046302,-19.73978543,-20.59910785,-21.45843027,-22.31775268,-23.1770751,-24.03639752
27.92380952,20.41666667,23.36190476,18.12727273,21.08095238,19.32142857,18.34380952,17.84727273,15.60666667,17.67857143,12.86952381,17.60727273,10.13238095,16.03571429,7.395238095,17.36727273,4.658095238,14.39285714,1.920952381,17.12727273,-0.816190476,12.75,-3.553333333,3.414639563,2.512252964,1.609866366,0.707479767,-0.194906832,-1.097293431,-1.99968003,-2.902066629,-3.804453228,-4.706839827,-5.609226426,-6.511613025,-7.413999624,-8.316386222,-9.218772821,-10.12115942,-11.02354602,-11.92593262,-12.82831922,-13.73070582,-14.63309241,-15.53547901,-16.43786561,-17.34025221,-18.24263881,-19.14502541,-20.04741201,-20.94979861,-21.85218521,-22.75457181,-23.6569584,-24.559345,-25.4617316
29.18095238,21.08333333,24.39047619,18.58787879,21.9952381,19.95,19.12095238,18.30787879,16.24666667,18.25,13.37238095,18.06787879,10.49809524,16.55,7.623809524,17.82787879,4.74952381,14.85,1.875238095,17.58787879,-0.999047619,13.15,-3.873333333,3.367359307,2.421908526,1.476457745,0.531006964,-0.414443817,-1.359894598,-2.305345379,-3.25079616,-4.196246941,-5.141697723,-6.087148504,-7.032599285,-7.978050066,-8.923500847,-9.868951628,-10.81440241,-11.75985319,-12.70530397,-13.65075475,-14.59620553,-15.54165631,-16.4871071,-17.43255788,-18.37800866,-19.32345944,-20.26891022,-21.214361,-22.15981178,-23.10526256,-24.05071334,-24.99616413,-25.94161491,-26.88706569
30.43809524,21.75,25.41904762,19.04848485,22.90952381,20.57857143,19.89809524,18.76848485,16.88666667,18.82142857,13.8752381,18.52848485,10.86380952,17.06428571,7.852380952,18.28848485,4.840952381,15.30714286,1.82952381,18.04848485,-1.181904762,13.55,-4.193333333,3.320079051,2.331564088,1.343049125,0.354534161,-0.633980802,-1.622495765,-2.611010728,-3.599525692,-4.588040655,-5.576555618,-6.565070582,-7.553585545,-8.542100508,-9.530615471,-10.51913043,-11.5076454,-12.49616036,-13.48467532,-14.47319029,-15.46170525,-16.45022021,-17.43873518,-18.42725014,-19.4157651,-20.40428007,-21.39279503,-22.38130999,-23.36982496,-24.35833992,-25.34685488,-26.33536985,-27.32388481,-28.31239977
,22.41666667,,19.50909091,,21.20714286,,19.22909091,,19.39285714,,18.98909091,,17.57857143,,18.74909091,,15.76428571,,18.50909091,,13.95,,,15.39137033,15.0939331,14.79649587,14.49905864,14.20162141,13.90418418,13.60674695,13.30930972,13.01187249,12.71443526,12.41699803,12.1195608,11.82212357,11.52468634,11.22724911,10.92981189,10.63237466,10.33493743,10.0375002,9.740062967,9.442625738,,,9.145188508,8.847751279,8.55031405,8.25287682,7.955439591,7.658002361,7.360565132,7.063127902,6.765690673
,23.08333333,,19.96969697,,21.83571429,,19.68969697,,19.96428571,,19.44969697,,18.09285714,,19.20969697,,16.22142857,,18.96969697,,14.35,,,15.79987092,15.49377568,15.18768044,14.8815852,14.57548996,14.26939473,13.96329949,13.65720425,13.35110901,13.04501377,12.73891854,12.4328233,12.12672806,11.82063282,11.51453758,11.20844235,10.90234711,10.59625187,10.29015663,9.984061393,9.677966155,,,9.371870917,9.065775679,8.759680441,8.453585203,8.147489965,7.841394726,7.535299488,7.22920425,6.923109012
,,,20.43030303,,,,20.15030303,,,,19.91030303,,,,19.67030303,,,,19.43030303,,,,,,,19.36030303,19.29830303,19.23630303,19.17430303,19.11230303,19.05030303,18.98830303,18.92630303,18.86430303,18.80230303,18.74030303,18.67830303,18.61630303,18.55430303,18.49230303,18.43030303,18.36830303,,,,,,,18.30630303,18.24430303,18.18230303,18.12030303,18.05830303,17.99630303,17.93430303
,,,20.89090909,,,,20.61090909,,,,20.37090909,,,,20.13090909,,,,19.89090909,,,,,,,19.82090909,19.75890909,19.69690909,19.63490909,19.57290909,19.51090909,19.44890909,19.38690909,19.32490909,19.26290909,19.20090909,19.13890909,19.07690909,19.01490909,18.95290909,18.89090909,18.82890909,,,,,,,18.76690909,18.70490909,18.64290909,18.58090909,18.51890909,18.45690909,18.39490909
data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data50,data51,data52,data53,data54,data55,data56
31.6952381,23.75,26.44761905,21.35151515,23.82380952,22.46428571,20.6752381,21.07151515,17.52666667,20.53571429,14.37809524,20.83151515,11.22952381,18.60714286,8.080952381,20.59151515,4.932380952,16.67857143,1.783809524,20.35151515,-1.364761905,14.75,-4.513333333,3.864554865,2.825447017,1.786339168,0.747231319,-0.291876529,-1.330984378,-2.370092227,-3.409200075,-4.448307924,-5.487415773,-6.526523621,-7.56563147,-8.604739319,-9.643847167,-10.68295502,-11.72206286,-12.76117071,-13.80027856,-14.83938641,-15.87849426,-16.91760211,-17.95670996,-18.99581781,-20.03492565,-21.0740335,-22.11314135,-23.1522492,-24.19135705,-25.2304649,-26.26957275,-27.30868059,-28.34778844,-29.38689629
32.95238095,24.41666667,27.47619048,21.81212121,24.73809524,23.09285714,21.45238095,21.53212121,18.16666667,21.10714286,14.88095238,21.29212121,11.5952381,19.12142857,8.30952381,21.05212121,5.023809524,17.13571429,1.738095238,20.81212121,-1.547619048,15.15,-4.833333333,3.817274609,2.735102579,1.652930548,0.570758517,-0.511413514,-1.593585545,-2.675757576,-3.757929607,-4.840101637,-5.922273668,-7.004445699,-8.08661773,-9.168789761,-10.25096179,-11.33313382,-12.41530585,-13.49747788,-14.57964992,-15.66182195,-16.74399398,-17.82616601,-18.90833804,-19.99051007,-21.0726821,-22.15485413,-23.23702616,-24.31919819,-25.40137022,-26.48354225,-27.56571429,-28.64788632,-29.73005835,-30.81223038
34.20952381,25.08333333,28.5047619,22.27272727,25.65238095,23.72142857,22.22952381,21.99272727,18.80666667,21.67857143,15.38380952,21.75272727,11.96095238,19.63571429,8.538095238,21.51272727,5.115238095,17.59285714,1.692380952,21.27272727,-1.73047619,15.55,-5.153333333,3.769994353,2.64475814,1.519521927,0.394285714,-0.730950499,-1.856186712,-2.981422925,-4.106659138,-5.231895351,-6.357131564,-7.482367777,-8.60760399,-9.732840203,-10.85807642,-11.98331263,-13.10854884,-14.23378506,-15.35902127,-16.48425748,-17.60949369,-18.73472991,-19.85996612,-20.98520233,-22.11043855,-23.23567476,-24.36091097,-25.48614719,-26.6113834,-27.73661961,-28.86185583,-29.98709204,-31.11232825,-32.23756446
35.46666667,25.75,29.53333333,22.73333333,26.56666667,24.35,23.00666667,22.45333333,19.44666667,22.25,15.88666667,22.21333333,12.32666667,20.15,8.766666667,21.97333333,5.206666667,18.05,1.646666667,21.73333333,-1.913333333,15.95,-5.473333333,3.722714097,2.554413702,1.386113307,0.217812912,-0.950487484,-2.118787879,-3.287088274,-4.455388669,-5.623689065,-6.79198946,-7.960289855,-9.12859025,-10.29689065,-11.46519104,-12.63349144,-13.80179183,-14.97009223,-16.13839262,-17.30669302,-18.47499341,-19.64329381,-20.8115942,-21.9798946,-23.14819499,-24.31649539,-25.48479578,-26.65309618,-27.82139657,-28.98969697,-30.15799736,-31.32629776,-32.49459816,-33.66289855
36.72380952,26.41666667,30.56190476,23.19393939,27.48095238,24.97857143,23.78380952,22.91393939,20.08666667,22.82142857,16.38952381,22.67393939,12.69238095,20.66428571,8.995238095,22.43393939,5.298095238,18.50714286,1.600952381,22.19393939,-2.096190476,16.35,-5.793333333,3.675433842,2.464069264,1.252704687,0.041340109,-1.170024468,-2.381389046,-3.592753623,-4.804118201,-6.015482778,-7.226847356,-8.438211933,-9.64957651,-10.86094109,-12.07230567,-13.28367024,-14.49503482,-15.7063994,-16.91776398,-18.12912855,-19.34049313,-20.55185771,-21.76322228,-22.97458686,-24.18595144,-25.39731602,-26.60868059,-27.82004517,-29.03140975,-30.24277433,-31.4541389,-32.66550348,-33.87686806,-35.08823264
37.98095238,27.08333333,31.59047619,23.65454545,28.3952381,25.60714286,24.56095238,23.37454545,20.72666667,23.39285714,16.89238095,23.13454545,13.05809524,21.17857143,9.223809524,22.89454545,5.38952381,18.96428571,1.555238095,22.65454545,-2.279047619,16.75,-6.113333333,3.628153586,2.373724826,1.119296066,-0.135132693,-1.389561453,-2.643990213,-3.898418972,-5.152847732,-6.407276492,-7.661705251,-8.916134011,-10.17056277,-11.42499153,-12.67942029,-13.93384905,-15.18827781,-16.44270657,-17.69713533,-18.95156409,-20.20599285,-21.46042161,-22.71485037,-23.96927913,-25.22370789,-26.47813665,-27.73256541,-28.98699417,-30.24142292,-31.49585168,-32.75028044,-34.0047092,-35.25913796,-36.51356672
,27.75,,24.11515152,,26.23571429,,23.83515152,,23.96428571,,23.59515152,,21.69285714,,23.35515152,,19.42142857,,23.11515152,,17.15,,,19.07810783,18.71140653,18.34470523,17.97800394,17.61130264,17.24460134,16.87790004,16.51119874,16.14449744,15.77779614,15.41109484,15.04439355,14.67769225,14.31099095,13.94428965,13.57758835,13.21088705,12.84418575,12.47748445,12.11078316,11.74408186,,,11.37738056,11.01067926,10.64397796,10.27727666,9.910575364,9.543874065,9.177172767,8.810471468,8.443770169
